追风筝的人,8.9,548890人评价,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元
解忧杂货店,8.5,545809人评价,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元
小王子,9.0,470513人评价,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元
白夜行,9.1,407725人评价,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元
活着,9.4,348443人评价,余华 / 作家出版社 / 2012-8-1 / 20.00元
嫌疑人X的献身,8.9,339852人评价,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00
三体,8.8,325596人评价,刘慈欣 / 重庆出版社 / 2008-1 / 23.00
围城,8.9,319962人评价,钱锺书 / 人民文学出版社 / 1991-2 / 19.00
挪威的森林,8.0,292000人评价,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元
红楼梦,9.6,231611人评价,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元
百年孤独,9.2,237909人评价,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元
看见,8.8,232773人评价,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元
平凡的世界（全三部）,9.0,206325人评价,路遥 / 人民文学出版社 / 2005-1 / 64.00元
三体Ⅱ,9.3,193562人评价,刘慈欣 / 重庆出版社 / 2008-5 / 32.00
三体Ⅲ,9.2,188563人评价,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元
我们仨,8.7,193947人评价,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元
达·芬奇密码,8.2,191996人评价,[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元
不能承受的生命之轻,8.5,187889人评价,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元
天才在左 疯子在右,8.1,201728人评价,高铭 / 武汉大学出版社 / 2010-2 / 29.80元
明朝那些事儿（壹）,8.7,163563人评价,当年明月 / 中国友谊出版公司 / 2006-9 / 24.80
撒哈拉的故事,9.0,158820人评价,三毛 / 皇冠出版社 / 1976 / 160 TWD
哈利·波特与魔法石,9.1,153671人评价,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元
简爱（英文全本）,8.5,167018人评价,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元
傲慢与偏见,8.8,157940人评价,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元
许三观卖血记,8.7,154200人评价,余华 / 南海出版公司 / 1998-9 / 16.80元
恶意,8.4,160959人评价,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00
目送,8.6,159961人评价,龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元
边城,8.6,148550人评价,沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元
人间失格,8.3,153946人评价,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009-9 / 16.00元
霍乱时期的爱情,9.0,140813人评价,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元
飘,9.3,130480人评价,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元
盗墓笔记,8.3,141148人评价,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元
倾城之恋,8.5,135650人评价,花城出版社 / 1997-3-1 / 11.00
窗边的小豆豆,8.7,127161人评价,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元
狼图腾,8.2,133134人评价,姜戎 / 长江文艺出版社 / 2004-4 / 32.00元
哈利·波特与阿兹卡班的囚徒,9.0,120679人评价,[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元
老人与海,8.4,128947人评价,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元
房思琪的初恋乐园,9.2,117049人评价,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元
哈利·波特与火焰杯,9.0,115489人评价,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元
